SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6806	6806	5628	OXBVVUPTVONEJO	84.655	7.1e-23	1153.72	1154.71	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	9397	9397	9397	DSYOCLWRCTWQOY	83.247	6.6e-19	1125.69	1126.69	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	10357	10357	10357	JAYJEXYYCNLGOQ	82.908	1.5e-18	1139.7	1140.7	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	1008	1008	1008	UPNQAUFZWGKHGZ	79.683	6.3e-17	641.321	642.33	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3562	3562	3562	NZNSTOHSZZLSNP	78.748	1.9e-22	772.427	773.434	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2128	2128	2128	FCFNRCROJUBPLU	77.344	5.5e-19	1110.63	1111.64	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	767	767	767	MNVIIQPACGZZBQ	77.179	1.4e-21	1030.53	1031.54	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11555	11555	11555	CXNKSWQNEYQUGX	77.047	4.7e-18	993.636	994.644	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	1250	1250	10791	FDCMZFTUQWXQIU	77.003	4.4e-20	1271.55	1272.56	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7840	7840	7840	KDZUJZSBNBCYEK	75.828	8.5e-23	984.59	985.603	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3572	3572	3572	HJAYZHHYHVLIHY	75.462	1.4e-17	826.401	827.409	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	4554	4554	4554	QEQPUTKQRURHAG	75.158	7.7e-30	1224.69	1225.71	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	4529	4529	4529	HABZTEMEEGKJMS	74.824	4.1e-35	1858.06	1859.06	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8034	8034	8034	SBQMOVZLCTZLSM	74.618	8.9e-17	1006.67	1007.68	-1	M+H	1
